Engelsk,Ord,IPA
electricity , elektrisitet (m) ,εlektrisi'tet
"electric, electrical (adj) ", elektrisk ,ε'lektrisk
electric power station , kraftverk (n) ,'krɑftˌværk
energy , energi (m) ,εnær'ɡi
electric power , elkraft (m/f) ,'εlˌkrɑft
light bulb , lyspære (m/f) ,'lysˌpærə
torch , lommelykt (m/f) ,'lʊməˌlʏkt
street light , gatelykt (m/f) ,'ɡɑtəˌlʏkt
light , lys (n) ,'lys
to turn on , å slå på ,ɔ 'ʂlɔ pɔ
to turn off , å slå av ,ɔ 'ʂlɔ ɑ:
to turn off the light , å slokke lyset ,ɔ 'ʂløkə 'lysə
to burn out (vi) , å brenne ut ,ɔ 'brεnə ʉt
short circuit , kortslutning (m) ,'kʊ:ʈˌslʉtniŋ
broken wire , kabelbrudd (n) ,'kɑbəlˌbrʉd
contact (electrical ~) , kontakt (m) ,kʊn'tɑkt
light switch , strømbryter (m) ,'strømˌbrytər
socket outlet , stikkontakt (m) ,'stik kʊnˌtɑkt
plug , støpsel (n) ,'støpsəl
extension lead , skjøteledning (m) ,'ʂøtəˌledniŋ
fuse , sikring (m) ,'sikriŋ
"cable, wire ", ledning (m) ,'ledniŋ
wiring , ledningsnett (n) ,'ledniŋsˌnεt
ampere , ampere (m) ,ɑm'pεr
amperage , strømstyrke (m) ,'strømˌstyrkə
volt , volt (m) ,'vɔlt
voltage , spenning (m/f) ,'spεniŋ
electrical device , elektrisk apparat (n) ,ε'lektrisk ɑpɑ'rɑt
indicator , indikator (m) ,indi'kɑtʊr
electrician , elektriker (m) ,ε'lektrikər
to solder (vt) , å lodde ,ɔ 'lɔdə
soldering iron , loddebolt (m) ,'lɔdəˌbɔlt
electric current , strøm (m) ,'strøm
theory , teori (m) ,teʊ'ri
axiom , aksiom (n) ,ɑksi'ɔm
analysis , analyse (m) ,ɑnɑ'lysə
to analyse (vt) , å analysere ,ɔ ɑnɑly'serə
argument (strong ~) , argument (n) ,ɑrɡʉ'mεnt
substance (matter) ," stoff (n), substans (m) ","'stɔf, sʊb'stɑns"
hypothesis , hypotese (m) ,hypʊ'tesə
dilemma , dilemma (n) ,di'lemɑ
dissertation , avhandling (m/f) ,'ɑvˌhɑndliŋ
dogma , dogme (n) ,'dɔɡmə
doctrine , doktrine (m) ,dɔk'trinə
research , forskning (m) ,'fɔ:ʂkniŋ
to research (vt) , å forske ,ɔ 'fɔ:ʂkə
tests (laboratory ~) ," test (m), prøve (m/f) ","'tεst, 'prøve"
laboratory , laboratorium (n) ,lɑbʊrɑ'tɔrium
method , metode (m) ,me'tɔdə
molecule , molekyl (n) ,mʊle'kyl
monitoring , overvåking (m/f) ,'ɔvərˌvɔkiŋ
"discovery (act, event) ", oppdagelse (m) ,'ɔpˌdɑɡəlsə
postulate , postulat (n) ,pɔstʉ'lɑt
principle , prinsipp (n) ,prin'sip
forecast , prognose (m) ,prʊɡ'nʊsə
to forecast (vt) , å prognostisere ,ɔ prʊɡnʊsti'serə
synthesis , syntese (m) ,sʏn'tesə
trend (tendency) , tendens (m) ,tεn'dεns
theorem , teorem (n) ,teʊ'rεm
weight , vekt (m) ,'vεkt
length , lengde (m/f) ,'leŋdə
width , bredde (m) ,'brεdə
height , høyde (m) ,'højdə
depth , dybde (m) ,'dʏbdə
volume , volum (n) ,vɔ'lʉm
area , areal (n) ,ˌɑre'ɑl
gram , gram (n) ,'ɡrɑm
milligram , milligram (n) ,'miliˌɡrɑm
kilogram , kilogram (n) ,'çiluˌɡrɑm
ton , tonn (m/n) ,'tɔn
pound , pund (n) ,'pʉn
ounce , unse (m) ,'ʉnsə
metre , meter (m) ,'metər
millimetre , millimeter (m) ,'miliˌmetər
centimetre , centimeter (m) ,'sεntiˌmetər
kilometre , kilometer (m) ,'çiluˌmetər
mile , mil (m/f) ,'mil
inch , tomme (m) ,'tɔmə
foot , fot (m) ,'fʊt
yard , yard (m) ,'ja:rd
square metre , kvadratmeter (m) ,kvɑ'drɑtˌmetər
hectare , hektar (n) ,'hεktɑr
litre , liter (m) ,'litər
degree , grad (m) ,'ɡrɑd
volt , volt (m) ,'vɔlt
ampere , ampere (m) ,ɑm'pεr
horsepower , hestekraft (m/f) ,'hεstəˌkrɑft
quantity , mengde (m) ,'mεŋdə
a little bit of … , få … ,'fɔ …
half , halvdel (m) ,'hɑldel
dozen , dusin (n) ,dʉ'sin
piece (item) , stykke (n) ,'stʏkə
size , størrelse (m) ,'stoerəlsə
scale (map ~) , målestokk (m) ,'mo:ləˌstɔk
minimal (adj) , minimal ,mini'mɑl
the smallest (adj) , minste ,'minstə
medium (adj) , middel,'midəl
maximal (adj) , maksimal ,mɑksi'mɑl
the largest (adj) , største ,'stoeʂtə
